Form,Section,Display_Label,Deluge_Name,Data_Type,Length,Mandatory,Unique,Default_Value,Picklist_Key,Formula,Notes
Policy_Master,A Identity,Policy Name,Name,Single Line,255,Y,N,,,,"Auto: Policy_Number + "" — "" + Carrier"
Policy_Master,A Identity,Policy Number,Policy_Number,Single Line,100,Y,N,,,,AMS policy number. NOT DB-unique so duplicates can be recorded; agent flags duplicate_policy
Policy_Master,A Identity,NowCerts Policy GUID,NowCerts_Policy_GUID,Single Line,36,N,Y,,,,AMS databaseId; unique when present. Optional so missing_in_ams CRM-only rows can exist
Policy_Master,A Identity,Hermes Policy ID,Hermes_Policy_ID,Single Line,36,N,Y,,,,canonical_policies.id
Policy_Master,A Identity,CRM Policy ID,CRM_Policy_ID,Single Line,50,N,Y,,,,Zoho CRM Policies record ID
Policy_Master,A Identity,CRM Account ID,CRM_Account_ID,Single Line,50,N,N,,,,Zoho CRM Account ID
Policy_Master,A Identity,CRM Deal ID,CRM_Deal_ID,Single Line,50,N,N,,,,Related Deal ID if any
Policy_Master,A Identity,NowCerts Insured GUID,NowCerts_Insured_GUID,Single Line,36,N,N,,,,AMS insured databaseId
Policy_Master,B Insured,Insured Name,Insured_Name,Single Line,255,N,N,,,,CommercialName or First+Last
Policy_Master,B Insured,Insured Type,Insured_Type,Picklist,50,N,N,,insured_type,,Personal|Commercial
Policy_Master,B Insured,FEIN,FEIN,Single Line,32,N,N,,,,Commercial only
Policy_Master,B Insured,Email,Email,Email,100,N,N,,,,
Policy_Master,B Insured,Phone,Phone,Phone,30,N,N,,,,
Policy_Master,B Insured,Billing Street,Billing_Street,Single Line,255,N,N,,,,
Policy_Master,B Insured,Billing City,Billing_City,Single Line,100,N,N,,,,
Policy_Master,B Insured,Billing State,Billing_State,Single Line,50,N,N,,,,Mailing state
Policy_Master,B Insured,Billing Code,Billing_Code,Single Line,20,N,N,,,,ZIP
Policy_Master,B Insured,Risk State,Risk_State,Single Line,10,N,N,,,,Policy state not mailing
Policy_Master,C Coverage,Carrier,Carrier,Single Line,150,N,N,,,,AMS CarrierName
Policy_Master,C Coverage,Line of Business,Line_of_Business,Single Line,150,N,N,,,,
Policy_Master,C Coverage,Business Type,Business_Type,Single Line,100,N,N,,,,
Policy_Master,C Coverage,Billing Type,Billing_Type,Picklist,40,N,N,,billing_type,,
Policy_Master,C Coverage,Policy Term Months,Policy_Term_Months,Number,3,N,N,,,,6 or 12 typical
Policy_Master,C Coverage,Coverage Amount,Coverage_Amount,Currency,16.2,N,N,,,,
Policy_Master,C Coverage,Deductible,Deductible,Currency,16.2,N,N,,,,
Policy_Master,D Status,Policy Status,Policy_Status,Picklist,40,N,N,,policy_status,,Normalized
Policy_Master,D Status,AMS Status Raw,AMS_Status_Raw,Single Line,80,N,N,,,,Unnormalized AMS string
Policy_Master,D Status,CRM Status,CRM_Status,Picklist,40,N,N,,policy_status,,Last seen in CRM
Policy_Master,D Status,Active,Active,Checkbox,,N,N,false,,,True only if Policy_Status = Active
Policy_Master,D Status,Cancellation Date,Cancellation_Date,Date,,N,N,,,,Distinct from Expiration_Date
Policy_Master,D Status,Cancellation Reason,Cancellation_Reason,Multi Line,2000,N,N,,,,AMS free text
Policy_Master,D Status,Cancellation Class,Cancellation_Class,Picklist,40,N,N,,cancellation_class,,Required if cancelled
Policy_Master,D Status,Reinstatement Date,Reinstatement_Date,Date,,N,N,,,,
Policy_Master,E Dates,Effective Date,Effective_Date,Date,,N,N,,,,
Policy_Master,E Dates,Expiration Date,Expiration_Date,Date,,N,N,,,,Do not overwrite with cancel date
Policy_Master,E Dates,Bind Date,Bind_Date,Date,,N,N,,,,
Policy_Master,E Dates,Last AMS Modified,Last_AMS_Modified,Date-Time,,N,N,,,,
Policy_Master,E Dates,Last CRM Modified,Last_CRM_Modified,Date-Time,,N,N,,,,
Policy_Master,E Dates,Last Synced,Last_Synced,Date-Time,,N,N,,,,
Policy_Master,E Dates,Last Audit Date,Last_Audit_Date,Date-Time,,N,N,,,,
Policy_Master,E Dates,Days To Expiration,Days_To_Expiration,Formula Number,,,N,,,Expiration_Date - zoho.currentdate,Formula
Policy_Master,F Financials,Premium,Premium,Currency,16.2,N,N,,,,AMS totalPremium
