entity,field_name,type,read_only,audited
Policy,acceptedByAmsAt,datetime,true,false
Policy,acceptedByAmsBy,varchar,true,false
Account,accountScore,int,true,false
Account,accountStatus,enum,false,false
Account,accountType,enum,false,true
Account,activePolicyCount,int,false,false
Contact,activityLogs,linkMultiple,false,false
Policy,activityLogs,linkMultiple,false,false
ActivityLog,activityType,enum,false,false
Contact,aepSepDate,date,false,false
Policy,agencyFee,currency,false,false
Account,agentOfAgencyCode,text,false,false
Account,agentOfRecordDate,date,false,false
Opportunity,aggregatePageId,varchar,false,false
Account,aiAssessment,text,false,false
Lead,aiSummary,text,false,false
Opportunity,aiSummary,text,false,false
Policy,amsLockReason,text,false,false
Policy,amsLockState,enum,false,false
Account,annualPremium,currency,false,false
Account,annualRevenue,currency,false,false
Account,assessmentDate,datetime,false,false
Opportunity,autoAssessmentDate,datetime,false,false
Opportunity,autoAssessmentNotes,text,false,false
Opportunity,autoCurrentCarrierYears,int,false,false
Opportunity,autoDriverCount,int,false,false
Opportunity,autoGarageState,varchar,false,false
Task,automationKey,varchar,true,false
Opportunity,autoPriorAccidents,int,false,false
Opportunity,autoPriorViolations,int,false,false
Opportunity,autoSR22Required,bool,false,false
Opportunity,autoTotalVehicleValue,currency,false,false
Opportunity,autoUseType,enum,false,false
Opportunity,autoVehicleCount,int,false,false
Opportunity,autoYoungestDriverAge,int,false,false
Account,bbbRating,text,false,false
Account,bestTimeToCall,text,false,false
Policy,billingType,enum,false,false
Opportunity,bindDate,date,false,false
Policy,bindDate,date,false,false
Account,businessEntity,enum,false,false
Opportunity,businessType,enum,false,false
Policy,businessType,varchar,false,false
Opportunity,caBusType,enum,false,false
Opportunity,caCommodity,varchar,false,false
Opportunity,caCurrentExpiration,date,false,false
Opportunity,caCurrentPolicyNum,varchar,false,false
Opportunity,caCurrentVehicleModifications,text,false,false
Opportunity,caDotNumber,varchar,false,false
Opportunity,caDriverCount,int,false,false
Opportunity,caEquipmentType,enum,false,false
Opportunity,caEquipmentValue,currency,false,false
Lead,callbackDate,date,true,false
Opportunity,callbackDate,date,true,false
Opportunity,caMcNumber,varchar,false,false
Policy,cancellationDate,date,false,false
Policy,cancellationReason,text,false,false
Opportunity,caRadius,enum,false,false
Account,carrierCode,text,false,false
Account,carrierPolicies,linkMultiple,false,false
Policy,carrierPortalUrl,url,true,false
Opportunity,caVehicleCount,int,false,false
Opportunity,cClientEmail,email,false,false
ActivityLog,changeEffectiveDate,date,false,false
ActivityLog,changeSummary,text,false,false
ActivityLog,changeType,enum,false,false
Opportunity,chkAppSubmitted,bool,false,false
Opportunity,chkBound,bool,false,false
Opportunity,chkCmsConfirmation,bool,false,false
Opportunity,chkDecPageDelivered,bool,false,false
Opportunity,chkMvrsPulled,bool,false,false
Opportunity,chkPlanPresented,bool,false,false
Opportunity,chkProposalSent,bool,false,false
Opportunity,chkQuoteSubmitted,bool,false,false
Opportunity,chkScopeOfAppt,bool,false,false
Opportunity,chkSignedAppReceived,bool,false,false
Opportunity,chkUnderlyingConfirmed,bool,false,false
Opportunity,chkUnderlyingLinked,bool,false,false
Opportunity,chkWelcomeLetter,bool,false,false
Account,claimsCount3yr,int,false,false
Account,claimsCountLifetime,int,false,false
Account,claimsNotes,text,false,false
Account,claimsOpen,int,false,false
Account,clientSince,date,false,false
Contact,clientType,enum,false,false
Policy,commissionAmount,currency,true,false
Opportunity,commissionLogged,bool,false,false
Commission,commissionNotes,text,false,false
Commission,commissionRate,float,false,false
Opportunity,commissionRate,float,false,false
Policy,commissionRate,float,false,false
Renewal,commissionRate,float,false,false
Commission,commissionType,enum,false,false
Account,communicationNotes,text,false,false
Contact,contactDriveFolderUrl,url,false,false
Contact,contactRole,enum,false,false
Contact,contactType,enum,false,false
Policy,coverageAmount,currency,false,false
Account,coverageGaps,text,false,false
Opportunity,cRenewalDate,date,false,false
Account,csrName,text,false,false
Contact,csrName,varchar,false,false
Lead,currentCarrier,varchar,false,false
Opportunity,currentCarrier,varchar,false,false
Lead,currentlyInsured,bool,false,false
Lead,currentMedicarePlan,varchar,false,false
Renewal,currentPremium,currency,false,false
Account,cYearBusinessEst,text,false,false
Account,dateOfBirth,date,false,false
Contact,dateOfBirth,date,false,false
Lead,dateOfBirth,date,false,false
OpportunityDriver,dateOfBirth,date,false,false
ActivityLog,dateTime,datetime,false,false
Policy,daysRemaining,int,true,false
Account,daysToRenewal,int,true,false
Contact,daysUntil65,int,true,false
Account,dependentAges,text,false,false
Account,dependentsCount,int,false,false
Account,doNotContact,bool,false,false
Opportunity,drInformation,text,false,false
Account,driver1Accidents,int,false,false
Account,driver1Dob,date,false,false
Account,driver1LicenseState,varchar,false,false
Account,driver1Name,text,false,false
Account,driver1Violations,int,false,false
Account,driver2Accidents,int,false,false
Account,driver2Dob,date,false,false
Account,driver2LicenseState,varchar,false,false
Account,driver2Name,text,false,false
Account,driver2Violations,int,false,false
Account,driverAdditionalNotes,text,false,false
Account,driverCount,int,false,false
Opportunity,driverDetails,text,false,false
OpportunityDriver,driverLicenseNumber,varchar,false,false
OpportunityDriver,driverName,varchar,false,false
OpportunityDriver,driverSchedule,varchar,false,false
Commission,effectiveDate,date,false,false
Opportunity,effectiveDate,date,false,false
